QCod,QKateg,QPag,QLang,QLect,QPhoto,QSound,QBook
614,1,25,1,"H κατανάλωση αλκοόλ επηρεάζει την οδήγηση. Οι πιθανές επιδράσεις είναι:","0","SQ-611","ΑΛΚΟΟΛ 31"
615,1,25,1,"Η κατάσταση της υγείας σας είναι τέτοια που σας υποχρεώνει να παίρνετε φάρμακα που μπορεί να επηρεάζουν την οδήγησή σας. Θα πρέπει να συμβουλευτείτε:","0","SQ-615","ΑΛΚΟΟΛ 32"
616,1,25,1,"Η κατανάλωση αλκοόλ μπορεί να προκαλέσει κατά την οδήγηση:","0","SQ-616","ΑΛΚΟΟΛ 33"
617,1,2,1,"Μια λωρίδα επιταχύνσεως χρησιμεύει στο να αποφεύγεται η επιβράδυνση της κανονικής ροής κυκλοφορίας:","Id01","SQ-617","ΕΙΣΟΔΟΣ 01"
618,1,1,1,"Για να εισέλθετε σε μια κανονική λωρίδα κυκλοφορίας του αυτοκινητόδρομου:","Id02","SQ-618","ΕΙΣΟΔΟΣ 02"
619,1,16,1,"Αναγνωρίζετε μία λωρίδα επιβραδύνσεως χάρη:","Id03","SQ-619","ΕΙΣΟΔΟΣ 03"
620,1,23,1,"Μια λωρίδα επιταχύνσεως είναι:","0","SQ-620","ΕΙΣΟΔΟΣ 04"
621,1,23,1,"Για να χρησιμοποιήσετε σωστά μια λωρίδα επιβραδύνσεως:","0","SQ-621","ΕΙΣΟΔΟΣ 05"
622,1,23,1,"Για να χρησιμοποιήσετε σωστά μια λωρίδα επιβραδύνσεως:","0","SQ-622","ΕΙΣΟΔΟΣ 06"
623,1,18,1,"Σε ποια περίπτωση, όταν βγαίνετε από σειρά σταθμευμένων αυτοκινήτων, επιτρέπεται να διακόψετε το ρεύμα κυκλοφορίας:","0","SQ-623","ΕΙΣΟΔΟΣ 07"
624,1,1,1,"Κινείσθε σε λωρίδα επιταχύνσεως. Μπορείτε να εισέλθετε στην κανονική λωρίδα κυκλοφορίας πίσω από αυτό το μαύρο όχημα:","Ie05","SQ-624","ΑΥΤΟΚΙΝΗΤΟΔΡΟΜΟΣ 05"
625,1,1,1,"Όταν στον αυτοκινητόδρομο η κυκλοφορία είναι πυκνή και γίνεται σε στοίχους:","Ie10","SQ-625","ΑΥΤΟΚΙΝΗΤΟΔΡΟΜΟΣ 10"
626,1,1,1,"Σε κανονικές συνθήκες κυκλοφορίας, για να χρησιμοποιήσετε την αριστερή λωρίδα στον αυτοκινητόδρομο, πρέπει:","Ie11","SQ-626","ΑΥΤΟΚΙΝΗΤΟΔΡΟΜΟΣ 11"
627,1,2,1,"Σε κάθε ταξίδι ο οδηγός πρέπει να κάνει στάση για ανάπαυση σε χώρο επιτρεπόμενης σταθμεύσεως κάθε:","Ie12","SQ-627","ΑΥΤΟΚΙΝΗΤΟΔΡΟΜΟΣ 12"
628,1,16,1,"Ο άνεμος είναι:","Ie15","SQ-628","ΑΥΤΟΚΙΝΗΤΟΔΡΟΜΟΣ 15"
629,1,201,1,"Στον αυτοκινητόδρομο, η ταχύτητα των επιβατηγών αυτοκινήτων περιορίζεται στα:","Ie16","SQ-629","ΑΥΤΟΚΙΝΗΤΟΔΡΟΜΟΣ 16"
630,1,16,1,"Στον αυτοκινητόδρομο, μπορείτε να σταθμεύσετε:","Ie20","SQ-630","ΑΥΤΟΚΙΝΗΤΟΔΡΟΜΟΣ 20"
631,1,1,1,"Στον αυτοκινητόδρομο, κατά τη διάρκεια ενός προσπεράσματος:","Ie21","SQ-631","ΑΥΤΟΚΙΝΗΤΟΔΡΟΜΟΣ 21"
632,1,1,1,"Για να ακολουθήσετε την έξοδο, έχετε επιλέξει την κατάλληλη λωρίδα:","Ie23","SQ-632","ΑΥΤΟΚΙΝΗΤΟΔΡΟΜΟΣ 23"
633,1,23,1,"Η στάση ανάγκης, είναι μια στάση του οχήματος επειδή:","0","SQ-633","ΑΥΤΟΚΙΝΗΤΟΔΡΟΜΟΣ 24"
634,1,24,1,"Στον αυτοκινητόδρομο, τα σημεία όπου μπορείτε να σταθμεύσετε επισημαίνονται από πινακίδες:","0","SQ-634","ΑΥΤΟΚΙΝΗΤΟΔΡΟΜΟΣ 25"
635,1,24,1,"Στον αυτοκινητόδρομο, σε περίπτωση πυκνής ομίχλης:","0","SQ-635","ΑΥΤΟΚΙΝΗΤΟΔΡΟΜΟΣ 26"
636,1,24,1,"Ο άνεμος, σε σχέση με τις ταχύτητες που αναπτύσσονται στον αυτοκινητόδρομο έχει επίδραση στην ασφαλή κίνηση του οχήματός σας:","0","SQ-636","ΑΥΤΟΚΙΝΗΤΟΔΡΟΜΟΣ 27"
637,1,24,1,"Όταν δύο αυτοκινητόδρομοι συνενώνονται, παραχωρούν προτεραιότητα τα οχήματα που κινούνται:","0","SQ-637","ΑΥΤΟΚΙΝΗΤΟΔΡΟΜΟΣ 28"
638,1,24,1,"Εάν είσθε υποχρεωμένος να σταματήσετε στον αυτοκινητόδρομο:","0","SQ-638","ΑΥΤΟΚΙΝΗΤΟΔΡΟΜΟΣ 29"
639,1,24,1,"Μπορείτε να πραγματοποιήσετε οπισθοπορεία σε μία λωρίδα έκτακτης ανάγκης:","0","SQ-639","ΑΥΤΟΚΙΝΗΤΟΔΡΟΜΟΣ 30"
640,1,24,1,"Σε μια λωρίδα έκτακτης ανάγκης μπορείτε:","0","SQ-640","ΑΥΤΟΚΙΝΗΤΟΔΡΟΜΟΣ 31"
641,1,24,1,"Σε έναν αυτοκινητόδρομο, σε καιρό βροχής:","0","SQ-641","ΑΥΤΟΚΙΝΗΤΟΔΡΟΜΟΣ 32"
642,1,24,1,"Στους αυτοκινητόδρομους και τις οδούς ταχείας κυκλοφορίας απαγορεύεται η κυκλοφορία:","0","SQ-642","ΑΥΤΟΚΙΝΗΤΟΔΡΟΜΟΣ 33"
643,1,24,1,"Ο αυτοκινητόδρομος:","0","SQ-643","ΑΥΤΟΚΙΝΗΤΟΔΡΟΜΟΣ 34"
644,1,24,1,"Όταν οδηγείτε επί πολύ χρόνο σε έναν αυτοκινητόδρομο μπορεί να νοιώθετε κουρασμένοι. Η καλύτερη συμπεριφορά στην περίπτωση αυτή είναι:","0","SQ-644","ΑΥΤΟΚΙΝΗΤΟΔΡΟΜΟΣ 35"
645,1,24,1,"Οδηγώντας με μεγάλη ταχύτητα επάνω στον αυτοκινητόδρομο κλατάρει ένα λάστιχο του επιβατηγού σας. Πώς συμπεριφέρεσθε:","0","SQ-645","ΑΥΤΟΚΙΝΗΤΟΔΡΟΜΟΣ 36"
646,1,24,1,"Από απροσεξία περάσατε την έξοδο του αυτοκινητόδρομου από την οποία θέλατε να βγείτε. Πώς θα συμπεριφερθείτε:","0","SQ-646","ΑΥΤΟΚΙΝΗΤΟΔΡΟΜΟΣ 39"
647,1,24,1,"Ο εισερχόμενος στον αυτοκινητόδρομο έχει προτεραιότητα:","0","SQ-647","ΑΥΤΟΚΙΝΗΤΟΔΡΟΜΟΣ 40"
648,1,24,1,"Όταν εγκαταλείπετε έναν αυτοκινητόδρομο η αντίληψη για την ταχύτητά σας είναι πιθανό να σας κάνει να νοιώθετε ότι κινείσθε:","0","SQ-648","ΑΥΤΟΚΙΝΗΤΟΔΡΟΜΟΣ 41"
649,1,24,1,"Για να εγκαταλείψετε τον αυτοκινητόδρομο ή μια οδό ταχείας κυκλοφορίας:","0","SQ-649","ΑΥΤΟΚΙΝΗΤΟΔΡΟΜΟΣ 42"
650,1,201,1,"Η αριστερή λωρίδα ενός αυτοκινητόδρομου τριών λωρίδων κυκλοφορίας, συνιστάται να χρησιμοποιείται από έναν οδηγό:","0","SQ-650","ΑΥΤΟΚΙΝΗΤΟΔΡΟΜΟΣ 43"
651,1,16,1,"Σε κατοικημένη περιοχή με φωτισμό τη νύκτα, πρέπει να οδηγείτε με αναμμένα τα φώτα:","Ist01","SQ-651","ΟΡΑΤΟΤΗΤΑ 01"
652,1,2,1,"Πρέπει να αλλάξετε τα φώτα πορείας με τα φώτα διασταυρώσεως:","Ist02","SQ-652","ΟΡΑΤΟΤΗΤΑ 02"
653,1,16,1,"Εκτός κατοικημένης περιοχής κατά τη νύκτα:","Ist03","SQ-653","ΟΡΑΤΟΤΗΤΑ 03"
654,1,16,1,"Σε περίπτωση ομίχλης:","Ist04","SQ-654","ΟΡΑΤΟΤΗΤΑ 04"
655,1,16,1,"Για να βελτιώσετε την ορατότητα σε περίπτωση ομίχλης, μπορείτε:","Ist06","SQ-655","ΟΡΑΤΟΤΗΤΑ 06"
656,1,26,1,"Σε περίπτωση δυνατής βροχής, ανάβετε:","0","SQ-656","ΟΡΑΤΟΤΗΤΑ 07"
657,1,26,1,"Εκτός κατοικημένης περιοχής, ανάβετε υποχρεωτικά τα φώτα διασταυρώσεως και κατά τη διάρκεια της ημέρας:","0","SQ-657","ΟΡΑΤΟΤΗΤΑ 08"
658,1,24,1,"Οδηγείτε σε αυτοκινητόδρομο. Βρέχει και αυτό προκαλεί μείωση της ορατότητας. Θα πρέπει:","0","SQ-658","ΟΡΑΤΟΤΗΤΑ 09"
659,1,26,1,"Εάν κάποιος οδηγός που κινείται στο αντίθετο ρεύμα σας θαμπώνει διατηρώντας αναμμένα τα φώτα πορείας του:","0","SQ-659","ΟΡΑΤΟΤΗΤΑ 10"
660,1,26,1,"Στρίβετε από έναν καλά φωτισμένο δρόμο σε έναν άλλο που δεν φωτίζεται. Τι πρέπει σε αυτήν την περίπτωση να προσέξετε:","0","SQ-660","ΟΡΑΤΟΤΗΤΑ 11"
661,1,26,1,"Ποιες ώρες έχετε υποχρέωση να ανάβετε τα φώτα διασταυρώσεως (μεσαία) του αυτοκινήτου σας όταν αυτό κινείται:","0","SQ-661","ΟΡΑΤΟΤΗΤΑ 12"
662,1,24,1,"Οδηγείτε με ομίχλη στον αυτοκινητόδρομο και έχετε 40 m ορατότητα. Ποια είναι η ταχύτητα που δεν θα πρέπει να υπερβείτε:","0","SQ-662","ΟΡΑΤΟΤΗΤΑ 13"
663,1,26,1,"Κατά τη διάρκεια της ημέρας, πρέπει να χρησιμοποιείτε τα φώτα σας:","0","SQ-663","ΟΡΑΤΟΤΗΤΑ 14"
664,1,26,1,"Κάθε φορά που προσπερνάτε κάποιο όχημα, τη νύκτα, και επιτρέπεται να ανάψετε τα φώτα πορείας αυτό το κάνετε:","0","SQ-664","ΟΡΑΤΟΤΗΤΑ 15"
665,1,26,1,"Τι πρέπει να κάνετε εάν κατά το διάστημα της ημέρας εισέλθετε οδηγώντας σε μία υπόγεια διάβαση που δεν έχει επαρκή φωτισμό:","0","SQ-665","ΟΡΑΤΟΤΗΤΑ 17"
666,1,26,1,"Γιατί πρέπει ακόμα και την ημέρα να κινείστε με αναμμένα τα μεσαία φώτα τουλάχιστον, όταν η ορατότητα εμποδίζεται σημαντικά από ομίχλη, βροχή ή χιονόπτωση:","0","SQ-666","ΟΡΑΤΟΤΗΤΑ 19"
1,1,17,1,"Οδηγείτε με την 4η ταχύτητα, ο κινητήρας δυσκολεύεται (σκορτσάρει) και κινδυνεύει να σταματήσει εντελώς τότε:","0","SQ-1","ΟΡΓΑΝΑ 16"
2,1,17,1,"Εάν συγκρίνετε το τιμόνι με την αριθμημένη οθόνη ενός ωρολογίου με δείκτες, η σωστή θέση των χεριών, σε ευθεία πορεία, τοποθετείται στις:","0","SQ-2","ΟΡΓΑΝΑ 17"
3,1,17,1,"Όταν περιμένετε να ανάψει το πράσινο φως του σηματοδότη:","0","SQ-3","ΟΡΓΑΝΑ 21"
4,1,17,1,"Σε ποιες περιπτώσεις έχετε υποχρέωση να χρησιμοποιήσετε τους δείκτες αλλαγής κατευθύνσεως (φλας) του οχήματός σας:","0","SQ-4","ΟΡΓΑΝΑ 22"
5,1,17,1,"Σε κανονική πορεία που δεν απαιτείται συχνή αλλαγή ταχυτήτων, το αριστερό πόδι:","0","SQ-5","ΟΡΓΑΝΑ 24"
6,1,17,1,"Πώς μπορείτε να μεταφέρετε κατά το δυνατόν ασφαλέστερα με το επιβατηγό σας αυτοκίνητο ένα μικρό παιδί:","0","SQ-6","ΟΡΓΑΝΑ 28"
7,1,17,1,"Τι μπορεί να συμβεί, εάν επιβάτες που κάθονται στο πίσω κάθισμα, δεν χρησιμοποιούν τις υπάρχουσες ζώνες ασφαλείας:","0","SQ-7","ΟΡΓΑΝΑ 29"
