AQCod,AAA,ALect,ACorr,ASound
1,1,"Περνάτε στην 3η ταχύτητα.",1,"SA-1-1"
1,2,"Περνάτε στην 5η ταχύτητα.",0,"SA-1-2"
2,1,"Εννέα και τέταρτο ως δέκα και δέκα.",1,"SA-2-1"
2,2,"Εννέα.",0,"SA-2-2"
2,3,"Έντεκα και πέντε.",0,"SA-2-3"
3,1,"Έχετε «βάλει» την 1η ταχύτητα και πιέζετε τον ποδομοχλό του συμπλέκτη.",0,"SA-3-1"
3,2,"Έχετε το μοχλό ταχυτήτων στη «νεκρά» και πιέζετε τον ποδομοχλό της πέδης (φρένο).",1,"SA-3-2"
3,3,"Έχετε το μοχλό ταχυτήτων στη «νεκρά» και πιέζετε τον ποδομοχλό του συμπλέκτη.",0,"SA-3-3"
4,1,"Μόνο όταν έχετε πρόθεση να αλλάξετε κατεύθυνση προς τα αριστερά.",0,"SA-4-1"
4,2,"Μόνο όταν έχετε πρόθεση να αλλάξετε λωρίδα κυκλοφορίας ή κατεύθυνση.",0,"SA-4-2"
4,3,"Πριν από κάθε αλλαγή κατευθύνσεως ή ελιγμό.",1,"SA-4-3"
5,1,"Παραμένει πάνω στον ποδομοχλό του συμπλέκτη χωρίς να τον πιέζει.",0,"SA-5-1"
5,2,"Μένει ακίνητο απέναντι από τον ποδομοχλό.",0,"SA-5-2"
5,3,"Μένει ακίνητο στα αριστερά του ποδομοχλού.",1,"SA-5-3"
6,1,"Στη θέση του συνοδηγού.",0,"SA-6-1"
6,2,"Στην αγκαλιά ενός προσώπου που κάθεται στο εμπρός κάθισμα.",0,"SA-6-2"
6,3,"Στο πίσω κάθισμα, σε ένα εγκεκριμμένου τύπου, για το σκοπό αυτό, παιδικό κάθισμα.",1,"SA-6-3"
7,1,"Σε μία σύγκρουση δημιουργούν για τον οδηγό και τον συνοδηγό ένα πρόσθετο κίνδυνο τραυματισμού.",1,"SA-7-1"
7,2,"Τίποτα διότι τα μαξιλάρια κεφαλής των μπροστινών καθισμάτων προσφέρουν επαρκή προστασία από τραυματισμούς.",0,"SA-7-2"
8,1,"100 m.",1,"SA-8-1"
8,2,"40 m.",0,"SA-8-2"
8,3,"300 m.",0,"SA-8-3"
9,1,"Ο εσωτερικός καθρέπτης καθιστά πάντα δυνατή την πλήρη oρατότητα προς τα δεξιά.",0,"SA-15-2"
9,2,"Σε μία ορισμένη περιοχή (νεκρή γωνία) είναι δυνατόν να μην είναι ορατά αυτοκίνητα που προσπερνούν.",1,"SA-9-2"
10,1,"Συνεχής με ίδιο τόνο.",1,"SA-10-1"
10,2,"Διαπεραστικός.",0,"SA-10-2"
10,3,"Εναλλασσόμενος.",0,"SA-10-3"
11,1,"Ναι, γιατί δεν προστατεύονται σε περίπτωση ατυχήματος.",1,"SA-11-1"
11,2,"Όχι, γιατί δεν προβλέπεται στον Κ.Ο.Κ.",0,"SA-11-2"
11,3,"Όχι, γιατί προστατεύονται από τα μπροστινά καθίσματα.",0,"SA-11-3"
12,1,"Τα φώτα που έχουν εμβέλεια τουλάχιστον 100 m.",0,"SA-12-1"
12,2,"Τα φώτα που έχουν εμβέλεια τουλάχιστον 40 m.",1,"SA-12-2"
12,3,"Τα μικρά φώτα στο εμπρόσθιο μέρος.",0,"SA-12-3"
13,1,"Χρησιμοποιώντας τα φώτα οπισθοπορείας.",0,"SA-13-1"
